"","","","","","","","AVG","57.1","65.7","74.2","","","","","",""
"","Company","Role","Craft","Level","Location","Modality","Currency","","","","RSU","","","","",""
"1/24/2024","Flanks","Senior Full-stack Engineer","Full-stack","IC-3","Barcelona","In Office","EUR","  50 ","  52.5 ","  55 ","","","","Barcelona","714",""
"1/25/2024","Cino","Senior Backend Engineer","Backend","IC-3","N/A","Full Remote","EUR","  60 ","  75.0 ","  90 ","Yes","","","Madrid","9",""
"1/25/2024","Between Technology","Devops Engineer ","Devops","IC-2","Barcelona","Hybrid","EUR","  45.00 ","  52.50 ","  60.00 ","","","","Bilbao","1",""
"1/25/2024","Kodify","Senior Full-Stack Developer","Full-stack","IC-3","N/A","Full Remote","EUR","  45 ","  62.5 ","  80 ","","","","Valencia","3",""
"1/26/2024","Withyou","Founding Software Engineer","Full-stack","IC-4","N/A","Full Remote","USD","  50.00 ","  60.00 ","  70.00 ","","","","A Coruña","1",""
"1/26/2024","Crossmint","Senior Frontend Engineer","Frontend","IC-3","Madrid","Hybrid","EUR","  50 ","  57.5 ","  65 ","","","","N/A","136",""
"1/26/2024","Ontruck","Product Engineer","Full-stack","IC-4","N/A","Full Remote","EUR","  40.00 ","  46.00 ","  52.00 ","","","","","",""
"1/26/2024","Baserow","Senior Full-Stack Developer","Full-stack","IC-3","N/A","Full Remote","EUR","  48 ","  78.0 ","  108 ","","","","","",""
"1/26/2024","Eneba","Product Manager","Product","P-4","N/A","Full Remote","EUR","  48.00 ","  60.00 ","  72.00 ","","","","","",""
"1/26/2024","Lively","Senior Backend Engineer","Backend","IC-3","N/A","Full Remote","EUR","  70 ","  80.0 ","  90 ","","","","","",""
"1/26/2024","Rarible","Senior Backend Engineer (Kotlin/ Java)","Backend","IC-3","N/A","Full Remote","USD","  80.00 ","  95.00 ","  110.00 ","","","","","",""
"1/26/2024","Rarible","Tech Lead (Java / Kotlin) ","Backend","IC-6","N/A","Full Remote","USD","  110.00 ","  135.00 ","  160.00 ","","","","","",""
"1/27/2024","Translucent","Senior Backend Engineer","Backend","IC-3","N/A","Full Remote","EUR","  75 ","  87.5 ","  100 ","","","","","",""
"1/27/2024","Bambi","Frontend Engineer","Frontend","IC-2","N/A","Full Remote","USD","  130.00 ","160","  190.00 ","","","","","",""
"1/27/2024","General Electric","Senior Technical Product Manager","Product","P-5","N/A","Full Remote","USD","  127.00 ","170","  213.00 ","","","","Barcelona","Full Remote","15"
"1/27/2024","TaxDown","Senior Frontend Developer ","Frontend","IC-3","Madrid","Full Remote","EUR","  50 ","  62.5 ","  75 ","","","","","Hybrid","235"
"1/27/2024","Gympass","Staff Backend Software Enginee","Backend","IC-4","N/A","Full Remote","EUR","  70.00 ","78","  86.00 ","","","","","In Office","415"
"1/27/2024","Thiga","Agile Product Coach","Product","P-2","Madrid","Full Remote","EUR","  35.00 ","45","  55.00 ","","","","Madrid","Full Remote","5"
"1/29/2024","Crossmint","Senior Full-Stack Developer","Full-stack","IC-3","Madrid","Hybrid","EUR","  55 ","  65.0 ","  75 ","","","","","Hybrid","4"
"1/29/2024","Jibble","Senior Backend Developer","Backend","IC-3","N/A","Full Remote","USD","48","54","60","","","","","In Office","0"
"1/29/2024","Factorial","Engineering Manager","Management","M-2","Barcelona","In Office","EUR","  60.00 ","70","  80.00 ","","","","Bilbao","Full Remote","0"
"1/29/2024","Zen Educate","Senior Full-Stack Developer","Full-stack","IC-3","N/A","Full Remote","USD","  89.00 ","101.5","  114.00 ","","","","","Hybrid","1"
"1/29/2024","Workato","Senior Machine Learning Engineer","Machine Learning","IC-3","N/A","Full Remote","EUR","  90 ","  110 ","  130 ","","","","","In Office","0"
"1/29/2024","RevenueCat","Senior Paid Marketing Manager ","N/A","Other","N/A","Full Remote","USD","  165.00 ","165","  165.00 ","","","","Valencia","Full Remote","0"
"1/30/2024","NASH Renewables","Senior Python Backend Engineer","Backend","IC-3","N/A","Full Remote","EUR","50","65","80","","","","","Hybrid","0"
"1/30/2024","Dehn","Solution Architect ","Architecture","IC-7","N/A","Full Remote","EUR","50","57.5","65","","2","","","In Office","3"
"1/30/2024","Tacter","Full-Stack Developer","Full-stack","IC-2","N/A","Full Remote","EUR","35","40","45","","","","A Coruña","Full Remote","0"
"1/30/2024","New Wave","Backend Developer","Backend","IC-2","N/A","Full Remote","BP","50","55","60","","","","","Hybrid","1"
"1/30/2024","SuperTokens","Developer Relations","N/A","Other","N/A","Full Remote","EUR","85","117.5","150","","","","","In Office","0"
"1/30/2024","Kodify","Senior Full-Stack Developer","Full-stack","IC-3","N/A","Full Remote","EUR","45","62.5","80","","","","","",""
